"sub","item","item_type","study_pos","ON_resp","ON_RT","RK_resp","accuracy"
1,"ROOM","word",17,"new",5.95139408112,"N",FALSE
1,"ZEAM","nonword",NA,"new",3.45181202888,"N",TRUE
1,"JALT","nonword",NA,"new",3.56469583511,"N",TRUE
1,"KISS","word",2,"old",4.92796587944,"K",TRUE
1,"LIFE","word",44,"new",3.07369399071,"N",FALSE
1,"TREE","word",NA,"new",2.17467689514,"N",TRUE
1,"HEWF","nonword",1,"old",3.28034806252,"K",TRUE
1,"SNOW","word",3,"old",1.89282894135,"K",TRUE
1,"HAND","word",NA,"new",1.9176530838,"N",TRUE
1,"WALK","word",24,"new",4.25914287567,"N",FALSE
1,"MYDE","nonword",NA,"new",2.37989902496,"N",TRUE
1,"HOAB","nonword",51,"new",2.29895401001,"N",FALSE
1,"DOOR","word",42,"old",1.23655796051,"K",TRUE
1,"CWEB","nonword",40,"old",3.09981894493,"R",TRUE
1,"LIKE","word",NA,"old",3.35453510284,"R",FALSE
1,"GWIC","nonword",10,"old",4.25324606895,"R",TRUE
1,"DENC","nonword",NA,"new",1.9772131443,"N",TRUE
1,"BIRD","word",54,"old",1.21083593369,"K",TRUE
1,"HEAD","word",45,"old",2.07805109024,"K",TRUE
1,"SIME","nonword",NA,"new",3.85687303543,"N",TRUE
1,"ROAD","word",NA,"new",1.3216547966,"N",TRUE
1,"VABB","nonword",36,"new",5.31736278534,"N",FALSE
1,"WONS","nonword",5,"old",1.82595300674,"K",TRUE
1,"SELF","word",NA,"old",1.40304112434,"R",FALSE
1,"DAPT","nonword",NA,"new",1.88379192352,"N",TRUE
1,"CASH","word",49,"old",1.47936797142,"K",TRUE
1,"JAUK","nonword",NA,"new",2.29038381577,"N",TRUE
1,"DATE","word",NA,"old",5.18005108833,"R",FALSE
1,"FEET","word",47,"new",2.91592597961,"N",FALSE
1,"NOGE","nonword",NA,"new",2.36895179749,"N",TRUE
1,"HESP","nonword",4,"old",1.82856321335,"K",TRUE
1,"BATH","word",14,"new",2.12258410454,"N",FALSE
1,"SONG","word",NA,"new",5.1020860672,"N",TRUE
1,"TUCE","nonword",60,"old",1.34855294228,"K",TRUE
1,"WUIL","nonword",NA,"old",4.04388904572,"R",FALSE
1,"WONC","nonword",NA,"old",1.56647515297,"R",FALSE
1,"CAKE","word",30,"old",2.14450097084,"R",TRUE
1,"CWUL","nonword",NA,"new",3.32337212563,"N",TRUE
1,"KNEE","word",NA,"new",2.24643397331,"N",TRUE
1,"NARN","nonword",NA,"new",2.41760802269,"N",TRUE
1,"MIND","word",NA,"new",2.2189438343,"N",TRUE
1,"COAT","word",13,"old",2.28449010849,"K",TRUE
1,"HALL","word",NA,"new",3.39115786552,"N",TRUE
1,"CLOF","nonword",23,"new",11.6284809113,"N",FALSE
1,"DWEK","nonword",NA,"new",7.52922105789,"N",TRUE
1,"SOTE","nonword",57,"old",1.17125701904,"K",TRUE
1,"SALT","word",NA,"old",3.45060801506,"R",FALSE
1,"CALL","word",18,"new",1.76111102104,"N",FALSE
1,"SOAP","word",55,"old",1.25254297256,"K",TRUE
1,"FACT","word",NA,"new",1.54766488075,"N",TRUE
1,"DAUV","nonword",58,"old",3.80937290192,"K",TRUE
1,"TALK","word",NA,"new",1.27911710739,"N",TRUE
1,"LATT","nonword",11,"old",1.66892004013,"K",TRUE
1,"HAVE","word",37,"new",2.26390886307,"N",FALSE
1,"NALN","nonword",41,"new",2.16718101501,"N",FALSE
1,"HELP","word",NA,"old",3.81875491142,"R",FALSE
1,"PAGE","word",22,"new",2.0609228611,"N",FALSE
1,"GIRL","word",9,"old",1.19658589363,"K",TRUE
1,"BLUE","word",NA,"old",1.34586000443,"R",FALSE
1,"TASP","nonword",NA,"old",2.01501202583,"R",FALSE
1,"WANT","word",56,"old",1.9660320282,"R",TRUE
1,"BOOK","word",NA,"old",2.81923317909,"R",FALSE
1,"SKIN","word",48,"old",1.47801685333,"K",TRUE
1,"YEAR","word",46,"old",2.90535020828,"R",TRUE
1,"SOFT","word",NA,"old",5.48526906967,"R",FALSE
1,"LOOK","word",6,"old",1.43336701393,"R",TRUE
1,"SNUZ","nonword",35,"new",2.98839902878,"N",FALSE
1,"HOLD","word",26,"new",2.41941785812,"N",FALSE
1,"VEUL","nonword",NA,"new",3.34072709084,"N",TRUE
1,"NOTE","word",NA,"new",3.6196398735,"N",TRUE
1,"HALF","word",38,"new",2.19657301903,"N",FALSE
1,"KLIB","nonword",19,"new",2.04988098145,"N",FALSE
1,"SWAZ","nonword",NA,"old",1.86746907234,"R",FALSE
1,"FOSK","nonword",NA,"new",1.27426195145,"N",TRUE
1,"TIME","word",NA,"new",6.62405896187,"N",TRUE
1,"REST","word",NA,"new",10.1983249187,"N",TRUE
1,"JOSP","nonword",20,"old",6.00156116486,"R",TRUE
1,"SHOP","word",NA,"new",2.62136507034,"N",TRUE
1,"GOOD","word",NA,"new",1.86043214798,"N",TRUE
1,"DUFE","nonword",33,"old",1.7561070919,"K",TRUE
1,"FACE","word",34,"old",1.86932992935,"R",TRUE
1,"BEEF","word",50,"old",1.44447112083,"K",TRUE
1,"WASH","word",NA,"old",6.07157993317,"R",FALSE
1,"LODD","nonword",NA,"old",4.54133987427,"R",FALSE
1,"UFTS","nonword",7,"old",1.54598808289,"K",TRUE
1,"RILM","nonword",NA,"new",1.78081607819,"N",TRUE
1,"DOYS","nonword",52,"new",3.6684319973,"N",FALSE
1,"WIND","word",NA,"new",1.25921201706,"N",TRUE
