"N2_0.5_H" "N2_0.5_M" "N2_0.5_Fa" "N2_0.5_Cr" "N5_0.5_H" "N5_0.5_M" "N5_0.5_Fa" "N5_0.5_Cr" "N8_0.5_H" "N8_0.5_M" "N8_0.5_Fa" "N8_0.5_Cr"
"1" 29 1 1 29 25 5 7 23 24 6 11 19
"2" 28 2 0 30 25 5 6 24 25 5 9 21
"3" 27 3 7 23 23 7 10 20 19 11 19 11
"4" 30 0 0 30 27 3 7 23 26 4 15 15
"5" 30 0 0 30 27 3 4 26 24 6 6 24
"6" 29 1 0 30 23 7 7 23 19 11 5 25
"7" 29 1 3 27 23 7 9 21 15 15 6 24
"8" 28 2 5 25 29 1 12 18 19 11 18 12
"9" 30 0 2 28 27 3 11 19 25 5 14 15
"10" 29 1 0 30 29 1 11 19 26 4 19 11
"11" 30 0 5 25 25 5 7 23 23 7 11 19
"12" 28 2 2 28 25 5 19 11 20 10 13 17
"13" 30 0 1 29 27 3 6 24 23 7 7 23
"14" 30 0 0 30 27 3 4 26 26 4 13 17
"15" 28 2 3 27 24 6 4 26 27 3 10 20
"16" 30 0 0 30 25 5 7 23 18 12 10 20
"17" 30 0 2 28 29 1 6 24 28 2 10 20
"18" 29 1 2 28 23 7 12 18 21 9 14 16
"19" 26 4 9 21 27 3 12 18 25 5 17 13
"20" 30 0 0 30 29 1 3 27 29 1 5 25
"21" 29 1 1 29 27 3 7 23 24 6 12 18
"22" 30 0 2 28 20 10 14 16 21 9 15 15
"23" 27 3 2 28 27 3 8 22 22 8 9 21
