"N2_0.3_H" "N2_0.3_M" "N2_0.3_Fa" "N2_0.3_Cr" "N5_0.3_H" "N5_0.3_M" "N5_0.3_Fa" "N5_0.3_Cr" "N8_0.3_H" "N8_0.3_M" "N8_0.3_Fa" "N8_0.3_Cr" "N2_0.5_H" "N2_0.5_M" "N2_0.5_Fa" "N2_0.5_Cr" "N5_0.5_H" "N5_0.5_M" "N5_0.5_Fa" "N5_0.5_Cr" "N8_0.5_H" "N8_0.5_M" "N8_0.5_Fa" "N8_0.5_Cr" "N2_0.7_H" "N2_0.7_M" "N2_0.7_Fa" "N2_0.7_Cr" "N5_0.7_H" "N5_0.7_M" "N5_0.7_Fa" "N5_0.7_Cr" "N8_0.7_H" "N8_0.7_M" "N8_0.7_Fa" "N8_0.7_Cr"
"1" 17 1 1 41 16 2 11 31 12 6 6 36 29 1 1 29 25 5 7 23 24 6 11 19 41 1 0 18 40 2 3 15 35 7 8 10
"2" 17 1 2 40 14 4 6 36 12 6 10 32 28 2 0 30 25 5 6 24 25 5 9 21 40 2 0 18 38 4 3 15 37 5 6 12
"3" 13 5 1 41 11 7 9 32 12 6 13 29 27 3 7 23 23 7 10 20 19 11 19 11 42 0 6 12 41 1 15 3 41 1 12 6
"4" 18 0 1 41 18 0 4 38 12 6 8 34 30 0 0 30 27 3 7 23 26 4 15 15 42 0 0 18 39 3 6 12 41 1 9 9
"5" 17 1 0 42 16 2 3 39 16 2 8 34 30 0 0 30 27 3 4 26 24 6 6 24 40 2 0 18 40 2 7 11 34 8 6 12
"6" 18 0 0 42 14 4 3 39 10 8 8 34 29 1 0 30 23 7 7 23 19 11 5 25 42 0 1 17 38 4 3 15 33 9 10 8
"7" 17 1 3 39 10 8 9 33 9 9 13 29 29 1 3 27 23 7 9 21 15 15 6 24 40 2 5 13 39 3 6 12 36 6 12 6
"8" 16 2 11 31 10 8 13 29 10 8 22 20 28 2 5 25 29 1 12 18 19 11 18 12 36 6 6 12 36 6 9 9 34 8 15 3
"9" 15 3 5 37 13 5 8 34 6 12 8 34 30 0 2 28 27 3 11 19 25 5 14 15 41 1 1 17 40 2 6 12 39 3 12 6
"10" 17 1 0 42 17 1 10 32 15 3 21 21 29 1 0 30 29 1 11 19 26 4 19 11 40 2 1 17 40 2 4 14 39 3 13 5
"11" 17 1 2 40 16 2 13 29 12 6 14 28 30 0 5 25 25 5 7 23 23 7 11 19 42 0 0 18 38 4 7 11 37 5 9 9
"12" 16 2 2 40 14 4 8 34 13 5 12 30 28 2 2 28 25 5 19 11 20 10 13 17 39 3 6 12 37 5 11 7 38 4 13 5
"13" 18 0 0 42 15 3 7 35 13 5 11 31 30 0 1 29 27 3 6 24 23 7 7 23 42 0 0 18 40 2 1 17 39 3 3 15
"14" 17 1 0 42 16 2 6 36 12 6 18 24 30 0 0 30 27 3 4 26 26 4 13 17 41 1 1 17 40 2 5 13 40 2 8 10
"15" 16 2 2 40 16 2 3 39 12 6 8 34 28 2 3 27 24 6 4 26 27 3 10 20 41 1 2 16 40 2 2 16 39 3 7 11
"16" 17 1 0 42 16 2 6 36 9 9 8 34 30 0 0 30 25 5 7 23 18 12 10 20 41 1 1 17 37 5 4 14 34 8 11 7
"17" 18 0 0 42 16 2 1 41 16 2 12 30 30 0 2 28 29 1 6 24 28 2 10 20 42 0 1 17 41 1 0 18 37 5 3 15
"18" 17 1 2 40 11 7 18 24 6 12 18 24 29 1 2 28 23 7 12 18 21 9 14 16 41 1 0 18 32 10 12 6 32 10 9 9
"19" 12 6 14 28 12 6 17 25 10 8 24 18 26 4 9 21 27 3 12 18 25 5 17 13 41 1 5 13 36 6 12 6 37 5 14 4
"20" 17 1 0 42 18 0 5 37 18 0 10 32 30 0 0 30 29 1 3 27 29 1 5 25 42 0 3 15 41 1 3 15 35 7 5 13
"21" 17 1 2 40 17 1 7 35 13 5 16 26 29 1 1 29 27 3 7 23 24 6 12 18 40 2 1 16 39 3 7 11 34 8 6 12
"22" 17 1 0 42 13 5 16 26 3 15 12 30 30 0 2 28 20 10 14 16 21 9 15 15 41 1 3 15 36 6 8 10 34 8 11 7
"23" 18 0 2 40 15 3 4 38 16 2 12 30 27 3 2 28 27 3 8 22 22 8 9 21 39 3 1 17 40 2 3 15 34 8 11 7
