"ppt" "prch" "N" "ischange" "respchange" "ntrials"
"7" 1 0.5 2 0 1 30
"8" 1 0.5 2 1 29 30
"9" 1 0.5 5 0 7 30
"10" 1 0.5 5 1 25 30
"11" 1 0.5 8 0 11 30
"12" 1 0.5 8 1 24 30
"25" 2 0.5 2 0 0 30
"26" 2 0.5 2 1 28 30
"27" 2 0.5 5 0 6 30
"28" 2 0.5 5 1 25 30
"29" 2 0.5 8 0 9 30
"30" 2 0.5 8 1 25 30
"43" 3 0.5 2 0 7 30
"44" 3 0.5 2 1 27 30
"45" 3 0.5 5 0 10 30
"46" 3 0.5 5 1 23 30
"47" 3 0.5 8 0 19 30
"48" 3 0.5 8 1 19 30
"61" 4 0.5 2 0 0 30
"62" 4 0.5 2 1 30 30
"63" 4 0.5 5 0 7 30
"64" 4 0.5 5 1 27 30
"65" 4 0.5 8 0 15 30
"66" 4 0.5 8 1 26 30
"79" 5 0.5 2 0 0 30
"80" 5 0.5 2 1 30 30
"81" 5 0.5 5 0 4 30
"82" 5 0.5 5 1 27 30
"83" 5 0.5 8 0 6 30
"84" 5 0.5 8 1 24 30
"97" 6 0.5 2 0 0 30
"98" 6 0.5 2 1 29 30
"99" 6 0.5 5 0 7 30
"100" 6 0.5 5 1 23 30
"101" 6 0.5 8 0 5 30
"102" 6 0.5 8 1 19 30
"115" 7 0.5 2 0 3 30
"116" 7 0.5 2 1 29 30
"117" 7 0.5 5 0 9 30
"118" 7 0.5 5 1 23 30
"119" 7 0.5 8 0 6 30
"120" 7 0.5 8 1 15 30
"133" 8 0.5 2 0 5 30
"134" 8 0.5 2 1 28 30
"135" 8 0.5 5 0 12 30
"136" 8 0.5 5 1 29 30
"137" 8 0.5 8 0 18 30
"138" 8 0.5 8 1 19 30
"151" 9 0.5 2 0 2 30
"152" 9 0.5 2 1 30 30
"153" 9 0.5 5 0 11 30
"154" 9 0.5 5 1 27 30
"155" 9 0.5 8 0 13 30
"156" 9 0.5 8 1 25 30
"169" 10 0.5 2 0 0 30
"170" 10 0.5 2 1 29 30
"171" 10 0.5 5 0 11 30
"172" 10 0.5 5 1 29 30
"173" 10 0.5 8 0 19 30
"174" 10 0.5 8 1 26 30
"187" 11 0.5 2 0 5 30
"188" 11 0.5 2 1 30 30
"189" 11 0.5 5 0 7 30
"190" 11 0.5 5 1 25 30
"191" 11 0.5 8 0 11 30
"192" 11 0.5 8 1 23 30
"205" 12 0.5 2 0 2 30
"206" 12 0.5 2 1 28 30
"207" 12 0.5 5 0 19 30
"208" 12 0.5 5 1 25 30
"209" 12 0.5 8 0 13 30
"210" 12 0.5 8 1 20 30
"223" 13 0.5 2 0 1 30
"224" 13 0.5 2 1 30 30
"225" 13 0.5 5 0 6 30
"226" 13 0.5 5 1 27 30
"227" 13 0.5 8 0 7 30
"228" 13 0.5 8 1 23 30
"241" 14 0.5 2 0 0 30
"242" 14 0.5 2 1 30 30
"243" 14 0.5 5 0 4 30
"244" 14 0.5 5 1 27 30
"245" 14 0.5 8 0 13 30
"246" 14 0.5 8 1 26 30
"259" 15 0.5 2 0 3 30
"260" 15 0.5 2 1 28 30
"261" 15 0.5 5 0 4 30
"262" 15 0.5 5 1 24 30
"263" 15 0.5 8 0 10 30
"264" 15 0.5 8 1 27 30
"277" 16 0.5 2 0 0 30
"278" 16 0.5 2 1 30 30
"279" 16 0.5 5 0 7 30
"280" 16 0.5 5 1 25 30
"281" 16 0.5 8 0 10 30
"282" 16 0.5 8 1 18 30
"295" 17 0.5 2 0 2 30
"296" 17 0.5 2 1 30 30
"297" 17 0.5 5 0 6 30
"298" 17 0.5 5 1 29 30
"299" 17 0.5 8 0 10 30
"300" 17 0.5 8 1 28 30
"313" 18 0.5 2 0 2 30
"314" 18 0.5 2 1 29 30
"315" 18 0.5 5 0 12 30
"316" 18 0.5 5 1 23 30
"317" 18 0.5 8 0 14 30
"318" 18 0.5 8 1 21 30
"331" 19 0.5 2 0 9 30
"332" 19 0.5 2 1 26 30
"333" 19 0.5 5 0 12 30
"334" 19 0.5 5 1 27 30
"335" 19 0.5 8 0 17 30
"336" 19 0.5 8 1 25 30
"349" 20 0.5 2 0 0 30
"350" 20 0.5 2 1 30 30
"351" 20 0.5 5 0 3 30
"352" 20 0.5 5 1 29 30
"353" 20 0.5 8 0 5 30
"354" 20 0.5 8 1 29 30
"367" 21 0.5 2 0 1 30
"368" 21 0.5 2 1 29 30
"369" 21 0.5 5 0 7 30
"370" 21 0.5 5 1 27 30
"371" 21 0.5 8 0 12 30
"372" 21 0.5 8 1 24 30
"385" 22 0.5 2 0 2 30
"386" 22 0.5 2 1 30 30
"387" 22 0.5 5 0 14 30
"388" 22 0.5 5 1 20 30
"389" 22 0.5 8 0 15 30
"390" 22 0.5 8 1 21 30
"403" 23 0.5 2 0 2 30
"404" 23 0.5 2 1 27 30
"405" 23 0.5 5 0 8 30
"406" 23 0.5 5 1 27 30
"407" 23 0.5 8 0 9 30
"408" 23 0.5 8 1 22 30
