"ppt" "prch" "N" "ischange" "respchange" "ntrials"
"1" 1 0.3 2 0 1 42
"2" 1 0.3 2 1 17 18
"3" 1 0.3 5 0 11 42
"4" 1 0.3 5 1 16 18
"5" 1 0.3 8 0 6 42
"6" 1 0.3 8 1 12 18
"7" 1 0.5 2 0 1 30
"8" 1 0.5 2 1 29 30
"9" 1 0.5 5 0 7 30
"10" 1 0.5 5 1 25 30
"11" 1 0.5 8 0 11 30
"12" 1 0.5 8 1 24 30
"13" 1 0.7 2 0 0 18
"14" 1 0.7 2 1 41 42
"15" 1 0.7 5 0 3 18
"16" 1 0.7 5 1 40 42
"17" 1 0.7 8 0 8 18
"18" 1 0.7 8 1 35 42
"19" 2 0.3 2 0 2 42
"20" 2 0.3 2 1 17 18
"21" 2 0.3 5 0 6 42
"22" 2 0.3 5 1 14 18
"23" 2 0.3 8 0 10 42
"24" 2 0.3 8 1 12 18
"25" 2 0.5 2 0 0 30
"26" 2 0.5 2 1 28 30
"27" 2 0.5 5 0 6 30
"28" 2 0.5 5 1 25 30
"29" 2 0.5 8 0 9 30
"30" 2 0.5 8 1 25 30
"31" 2 0.7 2 0 0 18
"32" 2 0.7 2 1 40 42
"33" 2 0.7 5 0 3 18
"34" 2 0.7 5 1 38 42
"35" 2 0.7 8 0 6 18
"36" 2 0.7 8 1 37 42
"37" 3 0.3 2 0 1 42
"38" 3 0.3 2 1 13 18
"39" 3 0.3 5 0 8 42
"40" 3 0.3 5 1 11 18
"41" 3 0.3 8 0 13 42
"42" 3 0.3 8 1 12 18
"43" 3 0.5 2 0 7 30
"44" 3 0.5 2 1 27 30
"45" 3 0.5 5 0 10 30
"46" 3 0.5 5 1 23 30
"47" 3 0.5 8 0 19 30
"48" 3 0.5 8 1 19 30
"49" 3 0.7 2 0 6 18
"50" 3 0.7 2 1 42 42
"51" 3 0.7 5 0 15 18
"52" 3 0.7 5 1 41 42
"53" 3 0.7 8 0 12 18
"54" 3 0.7 8 1 41 42
"55" 4 0.3 2 0 1 42
"56" 4 0.3 2 1 18 18
"57" 4 0.3 5 0 4 42
"58" 4 0.3 5 1 18 18
"59" 4 0.3 8 0 8 42
"60" 4 0.3 8 1 12 18
"61" 4 0.5 2 0 0 30
"62" 4 0.5 2 1 30 30
"63" 4 0.5 5 0 7 30
"64" 4 0.5 5 1 27 30
"65" 4 0.5 8 0 15 30
"66" 4 0.5 8 1 26 30
"67" 4 0.7 2 0 0 18
"68" 4 0.7 2 1 42 42
"69" 4 0.7 5 0 6 18
"70" 4 0.7 5 1 39 42
"71" 4 0.7 8 0 9 18
"72" 4 0.7 8 1 41 42
"73" 5 0.3 2 0 0 42
"74" 5 0.3 2 1 17 18
"75" 5 0.3 5 0 3 42
"76" 5 0.3 5 1 16 18
"77" 5 0.3 8 0 8 42
"78" 5 0.3 8 1 16 18
"79" 5 0.5 2 0 0 30
"80" 5 0.5 2 1 30 30
"81" 5 0.5 5 0 4 30
"82" 5 0.5 5 1 27 30
"83" 5 0.5 8 0 6 30
"84" 5 0.5 8 1 24 30
"85" 5 0.7 2 0 0 18
"86" 5 0.7 2 1 40 42
"87" 5 0.7 5 0 7 18
"88" 5 0.7 5 1 40 42
"89" 5 0.7 8 0 6 18
"90" 5 0.7 8 1 34 42
"91" 6 0.3 2 0 0 42
"92" 6 0.3 2 1 18 18
"93" 6 0.3 5 0 3 42
"94" 6 0.3 5 1 14 18
"95" 6 0.3 8 0 8 42
"96" 6 0.3 8 1 10 18
"97" 6 0.5 2 0 0 30
"98" 6 0.5 2 1 29 30
"99" 6 0.5 5 0 7 30
"100" 6 0.5 5 1 23 30
"101" 6 0.5 8 0 5 30
"102" 6 0.5 8 1 19 30
"103" 6 0.7 2 0 1 18
"104" 6 0.7 2 1 42 42
"105" 6 0.7 5 0 3 18
"106" 6 0.7 5 1 38 42
"107" 6 0.7 8 0 10 18
"108" 6 0.7 8 1 33 42
"109" 7 0.3 2 0 3 42
"110" 7 0.3 2 1 17 18
"111" 7 0.3 5 0 9 42
"112" 7 0.3 5 1 10 18
"113" 7 0.3 8 0 13 42
"114" 7 0.3 8 1 9 18
"115" 7 0.5 2 0 3 30
"116" 7 0.5 2 1 29 30
"117" 7 0.5 5 0 9 30
"118" 7 0.5 5 1 23 30
"119" 7 0.5 8 0 6 30
"120" 7 0.5 8 1 15 30
"121" 7 0.7 2 0 5 18
"122" 7 0.7 2 1 40 42
"123" 7 0.7 5 0 6 18
"124" 7 0.7 5 1 39 42
"125" 7 0.7 8 0 12 18
"126" 7 0.7 8 1 36 42
"127" 8 0.3 2 0 11 42
"128" 8 0.3 2 1 16 18
"129" 8 0.3 5 0 13 42
"130" 8 0.3 5 1 10 18
"131" 8 0.3 8 0 22 42
"132" 8 0.3 8 1 10 18
"133" 8 0.5 2 0 5 30
"134" 8 0.5 2 1 28 30
"135" 8 0.5 5 0 12 30
"136" 8 0.5 5 1 29 30
"137" 8 0.5 8 0 18 30
"138" 8 0.5 8 1 19 30
"139" 8 0.7 2 0 6 18
"140" 8 0.7 2 1 36 42
"141" 8 0.7 5 0 9 18
"142" 8 0.7 5 1 36 42
"143" 8 0.7 8 0 15 18
"144" 8 0.7 8 1 34 42
"145" 9 0.3 2 0 5 42
"146" 9 0.3 2 1 15 18
"147" 9 0.3 5 0 8 42
"148" 9 0.3 5 1 13 18
"149" 9 0.3 8 0 8 42
"150" 9 0.3 8 1 6 18
"151" 9 0.5 2 0 2 30
"152" 9 0.5 2 1 30 30
"153" 9 0.5 5 0 11 30
"154" 9 0.5 5 1 27 30
"155" 9 0.5 8 0 13 30
"156" 9 0.5 8 1 25 30
"157" 9 0.7 2 0 1 18
"158" 9 0.7 2 1 41 42
"159" 9 0.7 5 0 6 18
"160" 9 0.7 5 1 40 42
"161" 9 0.7 8 0 12 18
"162" 9 0.7 8 1 39 42
"163" 10 0.3 2 0 0 42
"164" 10 0.3 2 1 17 18
"165" 10 0.3 5 0 10 42
"166" 10 0.3 5 1 17 18
"167" 10 0.3 8 0 21 42
"168" 10 0.3 8 1 15 18
"169" 10 0.5 2 0 0 30
"170" 10 0.5 2 1 29 30
"171" 10 0.5 5 0 11 30
"172" 10 0.5 5 1 29 30
"173" 10 0.5 8 0 19 30
"174" 10 0.5 8 1 26 30
"175" 10 0.7 2 0 1 18
"176" 10 0.7 2 1 40 42
"177" 10 0.7 5 0 4 18
"178" 10 0.7 5 1 40 42
"179" 10 0.7 8 0 13 18
"180" 10 0.7 8 1 39 42
"181" 11 0.3 2 0 2 42
"182" 11 0.3 2 1 17 18
"183" 11 0.3 5 0 13 42
"184" 11 0.3 5 1 16 18
"185" 11 0.3 8 0 14 42
"186" 11 0.3 8 1 12 18
"187" 11 0.5 2 0 5 30
"188" 11 0.5 2 1 30 30
"189" 11 0.5 5 0 7 30
"190" 11 0.5 5 1 25 30
"191" 11 0.5 8 0 11 30
"192" 11 0.5 8 1 23 30
"193" 11 0.7 2 0 0 18
"194" 11 0.7 2 1 42 42
"195" 11 0.7 5 0 7 18
"196" 11 0.7 5 1 38 42
"197" 11 0.7 8 0 9 18
"198" 11 0.7 8 1 37 42
"199" 12 0.3 2 0 2 42
"200" 12 0.3 2 1 16 18
"201" 12 0.3 5 0 8 42
"202" 12 0.3 5 1 14 18
"203" 12 0.3 8 0 12 42
"204" 12 0.3 8 1 13 18
"205" 12 0.5 2 0 2 30
"206" 12 0.5 2 1 28 30
"207" 12 0.5 5 0 19 30
"208" 12 0.5 5 1 25 30
"209" 12 0.5 8 0 13 30
"210" 12 0.5 8 1 20 30
"211" 12 0.7 2 0 6 18
"212" 12 0.7 2 1 39 42
"213" 12 0.7 5 0 11 18
"214" 12 0.7 5 1 37 42
"215" 12 0.7 8 0 13 18
"216" 12 0.7 8 1 38 42
"217" 13 0.3 2 0 0 42
"218" 13 0.3 2 1 18 18
"219" 13 0.3 5 0 7 42
"220" 13 0.3 5 1 15 18
"221" 13 0.3 8 0 11 42
"222" 13 0.3 8 1 13 18
"223" 13 0.5 2 0 1 30
"224" 13 0.5 2 1 30 30
"225" 13 0.5 5 0 6 30
"226" 13 0.5 5 1 27 30
"227" 13 0.5 8 0 7 30
"228" 13 0.5 8 1 23 30
"229" 13 0.7 2 0 0 18
"230" 13 0.7 2 1 42 42
"231" 13 0.7 5 0 1 18
"232" 13 0.7 5 1 40 42
"233" 13 0.7 8 0 3 18
"234" 13 0.7 8 1 39 42
